year,st,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1979,05,37386,42835,604694,592276,6192,14.609,5293,12.488,106054,36091,69963,6.094,17.906,80932,27118,53814,4.579,13.665,25122,4.242,27.329,3965,4002,18514
1979,06,411751,494207,8055808,7721634,81147,16.851,55858,11.599,1764445,582416,1182029,7.543,22.851,1097077,402694,694383,5.215,14.208,667368,8.643,28.416,38666,39148,216383
1979,08,58728,68332,1024746,978389,11656,17.414,8861,13.238,230939,80872,150067,8.266,23.604,138009,53965,84044,5.516,14.106,92930,9.498,28.211,6357,6431,33014
1979,09,58441,66553,1257041,1217784,7652,11.686,5504,8.406,200468,58269,142199,4.785,16.462,121736,42850,78886,3.519,9.997,78732,6.465,19.993,3754,3773,20742
1979,10,10315,11933,229056,224764,1533,13.076,1115,9.510,32761,10668,22093,4.746,14.576,24148,7581,16567,3.373,10.744,8613,3.832,21.487,747,764,3533
1979,11,13699,15681,340080,328959,1948,12.536,1665,10.715,56718,13368,43350,4.064,17.242,34624,12521,22103,3.806,10.525,22094,6.716,21.051,1136,1152,6705
1979,12,175106,208860,2892892,2782010,35596,17.514,24357,11.984,646628,240903,405725,8.659,23.243,423674,171379,252295,6.160,15.229,222954,8.014,30.458,17519,17727,107726
1979,13,84883,104003,1722024,1685973,15141,14.809,11623,11.368,308430,108555,199875,6.439,18.294,236962,79574,157388,4.720,14.055,71468,4.239,28.110,8197,8282,44096
1979,15,16762,20212,303881,293898,3149,16.049,1967,10.025,57728,20623,37105,7.017,19.642,37726,12922,24804,4.397,12.836,20002,6.806,25.673,1354,1374,8077
1979,16,17785,20638,247294,244445,3132,15.315,2756,13.477,48629,18200,30429,7.445,19.894,43126,15692,27434,6.419,17.642,5503,2.251,35.285,2061,2073,9652
1979,17,182534,213831,4242270,4160848,25206,11.886,21662,10.215,706669,212428,494241,5.105,16.984,539918,175870,364048,4.227,12.976,166751,4.008,25.952,14840,15089,81991
1979,18,83761,100890,1899685,1852793,11937,11.985,9351,9.389,291225,83775,207450,4.522,15.718,197716,64860,132856,3.501,10.671,93509,5.047,21.342,6726,6811,35650
1979,19,56781,66573,916837,898058,7707,11.662,6734,10.190,147559,47586,99973,5.299,16.431,110026,38349,71677,4.270,12.252,37533,4.179,24.503,4938,4990,24179
1979,20,47453,55404,764404,740531,7035,12.858,5652,10.330,139232,44358,94874,5.990,18.802,90786,33126,57660,4.473,12.260,48446,6.542,24.519,4038,4085,19895
1979,21,53174,62427,980895,954840,8408,13.686,6420,10.450,174772,59402,115370,6.221,18.304,123085,40545,82540,4.246,12.891,51687,5.413,25.781,4641,4672,21962
1979,22,64268,76337,1247949,1206043,11485,15.400,7963,10.678,261491,88666,172825,7.352,21.682,177780,62814,114966,5.208,14.741,83711,6.941,29.482,5806,5866,36566
1979,23,20418,23353,321433,314198,3013,13.085,2358,10.241,52069,17193,34876,5.472,16.572,37796,11995,25801,3.818,12.029,14273,4.543,24.059,1716,1724,6752
1979,24,61656,73647,1266495,1232537,9414,13.000,6949,9.596,222237,66407,155830,5.388,18.031,154207,53420,100787,4.334,12.511,68030,5.520,25.023,4781,4843,25265
1979,25,98318,114014,2218527,2149582,12647,11.213,10194,9.038,375596,105575,270021,4.911,17.473,239004,75796,163208,3.526,11.119,136592,6.354,22.237,6879,6966,39243
1979,26,131082,156702,3115852,3033163,18755,12.123,14759,9.540,502027,137475,364552,4.532,16.551,335396,101436,233960,3.344,11.058,166631,5.494,22.115,10324,10486,56538
1979,27,70716,83222,1475450,1430989,10476,12.808,7622,9.318,265886,80494,185392,5.625,18.581,177301,54427,122874,3.803,12.390,88585,6.190,24.780,5410,5459,29257
1979,28,37112,43502,630665,620439,6151,14.362,4806,11.221,110407,38123,72284,6.145,17.795,89087,30735,58352,4.954,14.359,21320,3.436,28.717,3441,3470,17574
1979,29,83817,99417,1664419,1627235,13013,13.268,10340,10.542,275315,83306,192009,5.119,16.919,200994,68173,132821,4.189,12.352,74321,4.567,24.704,7339,7427,37809
1979,30,17972,20477,213306,206415,3168,15.701,2568,12.727,45210,17343,27867,8.402,21.902,31580,12165,19415,5.893,15.299,13630,6.603,30.599,1890,1901,8666
1979,31,32342,37231,489703,476009,4429,12.059,3421,9.315,83603,23061,60542,4.845,17.563,55988,19090,36898,4.010,11.762,27615,5.801,23.524,2459,2478,12348
1979,32,15730,17955,335212,314505,3593,20.728,2351,13.563,88453,33103,55350,10.525,28.125,47612,20569,27043,6.540,15.139,40841,12.986,30.277,1691,1700,12400
1979,33,18429,20618,321337,308387,2878,14.265,1992,9.874,60232,17421,42811,5.649,19.531,34456,12669,21787,4.108,11.173,25776,8.358,22.346,1445,1455,6919
1979,34,134106,152338,2572143,2504583,18958,12.643,14189,9.462,452124,133336,318788,5.324,18.052,317176,103509,213667,4.133,12.664,134948,5.388,25.328,9675,9721,47901
1979,35,23064,26767,337487,326077,4308,16.319,3572,13.531,75348,27554,47794,8.450,23.107,52619,21198,31421,6.501,16.137,22729,6.970,32.274,2514,2543,13020
1979,36,318651,360135,5923136,5792893,41589,11.621,37062,10.356,983455,275647,707808,4.758,16.977,721958,247893,474065,4.279,12.463,261497,4.514,24.926,26864,27145,127864
1979,37,92374,111863,2000406,1946883,14790,13.470,10668,9.716,318024,102284,215740,5.254,16.335,210861,69509,141352,3.570,10.831,107163,5.504,21.661,7730,7818,40777
1979,38,13905,15736,170946,164706,2202,14.295,1538,9.984,34463,13503,20960,8.198,20.924,22002,8329,13673,5.057,13.358,12461,7.566,26.717,1101,1105,5593
1979,39,159909,198775,3817107,3736671,22733,11.571,18128,9.227,587303,174452,412851,4.669,15.717,427458,137390,290068,3.677,11.440,159845,4.278,22.879,12085,12311,64602
1979,40,53946,62897,858651,828421,9927,16.096,7480,12.128,181226,66021,115205,7.969,21.876,120071,46397,73674,5.601,14.494,61155,7.382,28.988,5595,5638,29533
1979,41,52455,60678,840331,820489,9754,16.416,7232,12.172,165215,58398,106817,7.117,20.136,125462,46527,78935,5.671,15.291,39753,4.845,30.582,5163,5221,26813
1979,42,182569,218378,4045214,3963702,24000,11.125,18710,8.673,623653,172564,451089,4.354,15.734,461069,146016,315053,3.684,11.632,162584,4.102,23.265,13103,13280,67206
1979,44,18711,20755,344335,336132,2362,11.548,1760,8.605,56871,17242,39629,5.130,16.919,40258,12945,27313,3.851,11.977,16613,4.942,23.954,1253,1267,6862
1979,45,45816,54583,973527,954286,7301,13.563,5795,10.765,149920,45317,104603,4.749,15.710,111607,34159,77448,3.580,11.695,38313,4.015,23.391,4170,4235,20034
1979,46,14852,16712,182005,177238,2236,13.641,1595,9.731,33559,13059,20500,7.368,18.934,24054,8501,15553,4.796,13.572,9505,5.363,27.143,1175,1177,5351
1979,47,69909,83450,1458438,1426967,11716,14.252,9228,11.225,247565,80626,166939,5.650,17.349,184598,64488,120110,4.519,12.936,62967,4.413,25.873,6600,6649,35896
1979,48,237623,292195,4717112,4565802,47394,16.599,34050,11.925,1026616,373928,652688,8.190,22.485,724762,267566,457196,5.860,15.874,301854,6.611,31.747,24893,25213,166446
1979,49,23934,27736,429437,415287,4422,16.154,3697,13.506,94371,34157,60214,8.225,22.724,66430,24870,41560,5.989,15.996,27941,6.728,31.992,2694,2755,14697
1979,50,11393,12640,166284,162395,1735,14.008,1226,9.899,27513,9459,18054,5.825,16.942,19917,6807,13110,4.192,12.265,7596,4.677,24.529,934,937,4578
1979,51,79696,96811,1599988,1552367,12959,13.640,9354,9.845,290935,91492,199443,5.894,18.741,194938,62351,132587,4.017,12.557,95997,6.184,25.115,6634,6701,32606
1979,53,75702,88484,1230639,1180002,14008,16.202,9956,11.515,272650,86462,186188,7.327,23.106,170389,61405,108984,5.204,14.440,102261,8.666,28.879,6959,7052,35170
1979,54,27676,32220,500611,479608,4483,14.156,3381,10.676,97439,24720,72719,5.154,20.316,55648,19049,36599,3.972,11.603,41791,8.714,23.206,2347,2369,10216
1979,55,81741,94547,1625121,1589416,10810,11.614,7878,8.464,243087,70154,172933,4.414,15.294,171568,53495,118073,3.366,10.794,71519,4.500,21.589,5552,5602,26346
1979,56,11018,12349,144211,138374,2118,17.583,1511,12.544,35302,13581,21721,9.815,25.512,23774,8314,15460,6.008,17.181,11528,8.331,34.362,1099,1105,5786
1980,01,55902,67287,1082002,1085259,8517,12.638,8731,12.955,168599,53965,114634,4.973,15.535,174977,55213,119764,5.088,16.123,-6378,-0.588,31.071,6318,6381,33448
1980,02,7327,8649,106933,108131,1448,16.755,1434,16.593,23309,8929,14380,8.258,21.556,25742,9712,16030,8.982,23.806,-2433,-2.250,43.113,966,977,4669
1980,04,44624,53951,821557,810013,9092,17.232,6712,12.722,163757,62804,100953,7.753,20.217,140760,48074,92686,5.935,17.377,22997,2.839,34.755,4791,4858,26146
1980,05,37412,42910,606620,606479,5542,12.925,5479,12.778,95475,31490,63985,5.192,15.743,95073,29762,65311,4.907,15.676,402,0.066,31.352,4107,4160,17426
1980,06,424709,509799,8261429,8158868,78205,15.580,62527,12.457,1569429,579381,990048,7.101,19.236,1364214,459086,905128,5.627,16.721,205215,2.515,33.441,44264,44859,251475
1980,08,60585,70462,1057940,1042232,11421,16.458,9286,13.381,205348,74743,130605,7.171,19.703,174094,66207,107887,6.352,16.704,31254,2.999,33.408,6737,6833,39740
1980,09,59285,67653,1289363,1274435,7351,10.952,6289,9.370,179218,54553,124665,4.281,14.063,149268,47336,101932,3.714,11.712,29950,2.350,23.425,4471,4525,21020
1980,10,10353,11948,236826,233435,1309,10.965,1288,10.790,32530,9952,22578,4.263,13.935,25926,7307,18619,3.130,11.106,6604,2.829,22.213,927,953,3843
1980,11,13733,15704,336621,339172,1903,12.158,1800,11.500,56994,17529,39465,5.168,16.804,60827,29386,31441,8.664,17.934,-3833,-1.130,33.608,1234,1252,7582
1980,12,183784,218786,3017020,2954805,36071,16.866,26239,12.269,599606,232526,367080,7.869,20.293,475954,173637,302317,5.876,16.108,123652,4.185,32.216,19416,19663,110138
1980,13,85940,105459,1739664,1732592,13936,13.305,12510,11.943,269318,98218,171100,5.669,15.544,254685,83767,170918,4.835,14.700,14633,0.845,29.399,8864,8968,46441
1980,15,17605,21187,313419,308926,3124,15.097,2136,10.322,53986,21641,32345,7.005,17.475,45191,14565,30626,4.715,14.628,8795,2.847,29.257,1502,1530,8560
1980,16,17844,20736,246230,246637,2965,14.330,2875,13.895,43553,17131,26422,6.946,17.659,43792,15412,28380,6.249,17.756,-239,-0.097,35.318,2109,2134,9847
1980,17,182852,214677,4162987,4201553,24008,11.203,23269,10.858,547575,190282,357293,4.529,13.033,626960,173962,452998,4.140,14.922,-79385,-1.889,26.065,16502,16708,88206
1980,18,83694,101162,1815558,1856509,10938,10.825,10706,10.595,215456,77210,138246,4.159,11.605,297632,69682,227950,3.753,16.032,-82176,-4.426,23.211,7639,7731,35327
1980,19,56682,66755,902059,907914,7140,10.707,7004,10.503,119160,40937,78223,4.509,13.125,131055,38422,92633,4.232,14.435,-11895,-1.310,26.249,5292,5325,23950
1980,20,47691,55719,772908,768843,6354,11.433,6066,10.915,118544,40591,77953,5.279,15.419,110644,31911,78733,4.151,14.391,7900,1.028,28.782,4474,4517,20573
1980,21,52898,62433,955634,966953,7200,11.534,7185,11.510,129915,47206,82709,4.882,13.436,152594,40752,111842,4.214,15.781,-22679,-2.345,26.871,5344,5387,25502
1980,22,65187,77580,1260953,1253360,10386,13.501,9084,11.808,220427,71361,149066,5.694,17.587,204435,62061,142374,4.952,16.311,15992,1.276,32.622,6671,6729,37355
1980,23,20343,23345,322553,321736,2685,11.495,2711,11.606,45448,14140,31308,4.395,14.126,43930,15193,28737,4.722,13.654,1518,0.472,27.308,1928,1946,8698
1980,24,62605,74857,1296276,1281744,8887,11.968,7691,10.357,214457,67651,146806,5.278,16.732,185601,52099,133502,4.065,14.480,28856,2.251,28.961,5304,5370,28255
1980,25,99436,115446,2271571,2244816,12079,10.525,10712,9.334,338723,95990,242733,4.276,15.089,285410,86780,198630,3.866,12.714,53313,2.375,25.428,7393,7493,39965
1980,26,130959,157433,2910795,3012541,17515,11.148,16871,10.738,353488,124093,229395,4.119,11.734,559814,121811,438003,4.043,18.583,-206326,-6.849,23.468,11934,12077,67121
1980,27,71638,84438,1487986,1481504,9422,11.234,8293,9.888,222623,70876,151747,4.784,15.027,210183,62227,147956,4.200,14.187,12440,0.840,28.374,5998,6086,34820
1980,28,37475,44042,620772,625868,5717,13.059,5189,11.853,93282,34366,58916,5.491,14.904,103169,30775,72394,4.917,16.484,-9887,-1.580,29.809,3819,3848,18243
1980,29,83773,99522,1644878,1655193,11493,11.553,11410,11.470,229074,78468,150606,4.741,13.840,249627,73944,175683,4.467,15.081,-20553,-1.242,27.679,8222,8317,38600
1980,30,17985,20486,208751,211068,2697,13.167,2692,13.142,36637,14727,21910,6.977,17.358,41250,13292,27958,6.297,19.543,-4613,-2.186,34.716,1921,1931,8919
1980,31,32349,37334,486149,487873,4100,10.996,4007,10.746,70813,25182,45631,5.162,14.515,74664,20568,54096,4.216,15.304,-3851,-0.789,29.029,2983,3015,12915
1980,32,16361,18757,345129,339985,3393,18.476,2608,14.201,68643,29181,39462,8.583,20.190,57967,20373,37594,5.992,17.050,10676,3.140,34.100,1907,1933,11778
1980,33,18525,20779,328230,325008,2481,11.983,2333,11.268,52688,17663,35025,5.435,16.211,46566,16441,30125,5.059,14.328,6122,1.884,28.655,1674,1687,9513
1980,34,136249,154898,2598995,2588598,17798,11.582,15344,9.985,389091,123982,265109,4.790,15.031,368140,106874,261266,4.129,14.222,20951,0.809,28.443,11059,11119,55150
1980,35,23254,27024,335534,336233,4019,14.941,3770,14.015,63011,25640,37371,7.626,18.740,64711,23199,41512,6.900,19.246,-1700,-0.506,37.481,2671,2693,14334
1980,36,319242,360922,5939404,5917488,39470,10.945,38861,10.776,870635,263676,606959,4.456,14.713,828506,262458,566048,4.435,14.001,42129,0.712,28.002,28729,28966,146252
1980,37,92914,112925,2002435,1997447,13477,11.989,12446,11.072,267228,89778,177450,4.495,13.378,255693,77035,178658,3.857,12.801,11535,0.577,25.602,9012,9124,43078
1980,38,14029,15950,174162,172574,1952,12.317,1749,11.036,29958,11025,18933,6.389,17.360,26837,8611,18226,4.990,15.551,3121,1.808,31.102,1296,1302,5587
1980,39,159944,199403,3741123,3779861,20283,10.186,19743,9.914,477386,150669,326717,3.986,12.630,554896,141907,412989,3.754,14.680,-77510,-2.051,25.259,13633,13823,68698
1980,40,54901,64091,886961,871788,9370,14.764,8120,12.794,173609,68323,105286,7.837,19.914,142065,49998,92067,5.735,16.296,31544,3.618,32.592,6008,6073,32007
1980,41,53427,61962,848393,845062,9549,15.571,8277,13.497,152537,60215,92322,7.126,18.050,146488,50406,96082,5.965,17.335,6049,0.716,34.669,6084,6201,31656
1980,42,181884,218270,4060494,4057504,21314,9.760,21526,9.857,534727,169833,364894,4.186,13.179,527093,156536,370557,3.858,12.991,7634,0.188,25.981,15287,15469,80232
1980,44,18766,20799,342233,343205,2119,10.200,2071,9.969,45121,12965,32156,3.778,13.147,47241,11886,35355,3.463,13.765,-2120,-0.618,26.294,1502,1512,6391
1980,45,46271,55305,959563,952166,7098,12.917,6387,11.623,136859,45894,90965,4.820,14.373,122067,36678,85389,3.852,12.820,14792,1.554,25.640,4573,4656,19728
1980,46,14908,16807,181663,181736,1910,11.391,1830,10.914,29129,11207,17922,6.167,16.028,29437,9456,19981,5.203,16.198,-308,-0.169,32.056,1352,1359,5671
1980,47,70173,84032,1439425,1448601,10579,12.632,10011,11.954,203994,70786,133208,4.887,14.082,222195,67536,154659,4.662,15.339,-18201,-1.256,28.164,7321,7402,38325
1980,48,244371,301390,4893194,4804407,46354,15.623,36964,12.459,971533,352627,618906,7.340,20.222,790917,262331,528586,5.460,16.462,180616,3.759,32.925,26366,26769,151982
1980,49,23890,27845,436649,433004,4124,14.841,4011,14.434,78406,29730,48676,6.866,18.107,71111,27208,43903,6.284,16.423,7295,1.685,32.845,2894,2930,16244
1980,50,11570,12853,166985,166660,1576,12.362,1368,10.730,24339,7416,16923,4.450,14.604,23517,6555,16962,3.933,14.111,822,0.493,28.222,1051,1057,4072
1980,51,80524,98104,1630956,1615724,11966,12.279,10664,10.943,247965,80632,167333,4.990,15.347,217322,64081,153241,3.966,13.450,30643,1.897,26.901,7617,7702,34931
1980,53,76491,89781,1267028,1247728,13106,14.707,11778,13.216,243209,85433,157776,6.847,19.492,205683,70288,135395,5.633,16.485,37526,3.008,32.969,8454,8554,45879
1980,54,27525,32164,484991,492765,3729,11.584,3781,11.746,66688,23946,42742,4.860,13.533,81937,22773,59164,4.621,16.628,-15249,-3.095,27.067,2766,2775,11816
1980,55,81920,94994,1615656,1620379,9573,10.099,9162,9.666,200269,60882,139387,3.757,12.359,210757,57025,153732,3.519,13.007,-10488,-0.647,24.719,6663,6737,32130
1980,56,11353,12769,151340,147837,2005,15.959,1594,12.688,32647,12087,20560,8.176,22.083,25699,9044,16655,6.118,17.383,6948,4.700,34.767,1142,1160,6395
1981,01,55370,67099,1070067,1074198,8309,12.367,8490,12.636,167433,65887,101546,6.134,15.587,176020,51908,124112,4.832,16.386,-8587,-0.799,31.174,6269,6358,32188
1981,02,7677,9047,119544,113194,1648,18.632,1244,14.064,32893,12106,20787,10.695,29.059,19995,7320,12675,6.467,17.664,12898,11.395,35.329,814,819,4037
1981,04,46265,56249,845184,832792,9463,17.181,7119,12.926,161214,67099,94115,8.057,19.358,136322,42870,93452,5.148,16.369,24892,2.989,32.739,5222,5304,28043
1981,05,37051,42812,602283,603569,5441,12.703,5480,12.794,89612,36618,52994,6.067,14.847,92631,27596,65035,4.572,15.347,-3019,-0.500,29.694,4076,4117,18657
1981,06,433401,521994,8445877,8357041,78300,15.181,65847,12.767,1581027,603677,977350,7.224,18.919,1400776,462721,938055,5.537,16.762,180251,2.157,33.523,46806,47540,267206
