year,sector,fage,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1978,21,j) 21 to 25,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,21,k) 26+,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,21,l) Left Censored,14439,19998,668650,682307,1157,5.593,2537,12.263,134444,33783,100661,4.951,19.704,161461,54898,106563,8.046,23.664,-27017,-3.960,39.409,1239,1270,12828
1978,22,a) 0,434,435,1373,687,435,200.000,X,X,1373,1373,X,200.000,200.000,X,X,X,X,X,1373,200.000,X,X,X,X
1978,22,b) 1,310,310,929,978,0,0.000,73,21.068,315,0,315,0.000,32.209,401,319,82,32.618,41.002,-86,-8.793,64.417,56,56,240
1978,22,c) 2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,22,d) 3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,22,e) 4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,22,f) 5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,22,g) 6 to 10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,22,h) 11 to 15,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,22,i) 16 to 20,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,22,j) 21 to 25,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,22,k) 26+,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,22,l) Left Censored,4949,11119,655345,640191,500,4.498,492,4.426,79382,18585,60797,2.903,12.400,49287,11808,37479,1.844,7.699,30095,4.701,15.398,157,159,1581
1978,23,a) 0,81751,81777,345722,172861,81777,200.000,X,X,345722,345722,X,200.000,200.000,X,X,X,X,X,345722,200.000,X,X,X,X
1978,23,b) 1,55918,55947,312287,297423,14,0.021,21283,31.965,135585,766,134819,0.258,45.587,103835,68298,35537,22.963,34.912,31750,10.675,69.823,16578,16579,55074
1978,23,c) 2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,23,d) 3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,23,e) 4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,23,f) 5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,23,g) 6 to 10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,23,h) 11 to 15,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,23,i) 16 to 20,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,23,j) 21 to 25,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,23,k) 26+,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,23,l) Left Censored,288802,294437,3436183,3350682,10199,3.321,35477,11.553,857743,74607,783136,2.227,25.599,684185,204842,479343,6.113,20.419,173558,5.180,40.839,27272,27310,134987
1978,31-33,a) 0,27599,27685,250147,125074,27685,200.000,X,X,250147,250147,X,200.000,200.000,X,X,X,X,X,250147,200.000,X,X,X,X
1978,31-33,b) 1,21095,21198,245666,235509,68,0.279,6331,26.022,91919,2260,89659,0.960,39.030,71228,51647,19581,21.930,30.244,20691,8.786,60.489,5168,5182,43413
1978,31-33,c) 2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,31-33,d) 3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,31-33,e) 4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,31-33,f) 5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,31-33,g) 6 to 10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,31-33,h) 11 to 15,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,31-33,i) 16 to 20,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,31-33,j) 21 to 25,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,31-33,k) 26+,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,31-33,l) Left Censored,215318,263141,17832822,17536490,5971,2.208,20605,7.619,2066265,254632,1811633,1.452,11.783,1475729,476742,998987,2.719,8.415,590536,3.367,16.830,13840,13972,181015
1978,42,a) 0,27085,27462,122013,61009,27462,199.993,X,X,122014,122013,X,199.993,199.995,X,X,X,X,X,122011,199.990,X,X,X,X
1978,42,b) 1,20486,21176,119732,116461,283,1.171,6274,25.956,42985,2706,40279,2.324,36.910,35737,25416,10321,21.824,30.686,7248,6.224,61.372,5048,5100,20064
1978,42,c) 2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,42,d) 3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,42,e) 4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,42,f) 5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,42,g) 6 to 10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,42,h) 11 to 15,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,42,i) 16 to 20,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,42,j) 21 to 25,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,42,k) 26+,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,42,l) Left Censored,188528,258017,3583659,3529259,10876,4.124,22328,8.466,626180,133485,492695,3.782,17.743,517713,225590,292123,6.392,14.669,108467,3.073,29.338,13050,13369,86591
1978,44-45,a) 0,91216,94560,401669,200839,94560,199.998,X,X,401668,401668,X,199.996,199.996,X,X,X,X,X,401658,199.991,X,X,X,X
1978,44-45,b) 1,71013,74663,373422,379073,1811,2.092,25594,29.570,114207,10981,103226,2.897,30.128,122973,84989,37984,22.420,32.440,-8766,-2.312,60.256,20704,20998,68708
1978,44-45,c) 2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,44-45,d) 3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,44-45,e) 4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,44-45,f) 5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,44-45,g) 6 to 10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,44-45,h) 11 to 15,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,44-45,i) 16 to 20,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,44-45,j) 21 to 25,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,44-45,k) 26+,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,44-45,l) Left Censored,579271,831596,9169447,9036344,40317,4.702,92119,10.743,1589338,408896,1180442,4.525,17.588,1323613,553143,770470,6.121,14.648,265725,2.941,29.295,56983,58539,248520
1978,48-49,a) 0,14577,14591,69273,34637,14591,200.000,X,X,69273,69273,X,200.000,200.000,X,X,X,X,X,69273,200.000,X,X,X,X
1978,48-49,b) 1,9684,9738,57580,57313,35,0.293,4476,37.429,20352,267,20085,0.466,35.511,19431,13970,5461,24.375,33.904,921,1.607,67.807,3718,3718,11942
1978,48-49,c) 2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,48-49,d) 3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,48-49,e) 4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,48-49,f) 5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,48-49,g) 6 to 10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,48-49,h) 11 to 15,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,48-49,i) 16 to 20,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,48-49,j) 21 to 25,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,48-49,k) 26+,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,48-49,l) Left Censored,66136,86327,2298827,2243261,3963,4.417,10759,11.991,454995,98328,356667,4.383,20.283,343447,122021,221426,5.439,15.310,111548,4.973,30.620,7176,7224,45588
1978,51,a) 0,5367,5424,36080,18040,5424,200.000,X,X,36080,36080,X,200.000,200.000,X,X,X,X,X,36080,200.000,X,X,X,X
1978,51,b) 1,3709,3851,30986,32484,68,1.500,1434,31.628,10175,649,9526,1.998,31.323,13314,9827,3487,30.252,40.986,-3139,-9.663,62.646,1107,1129,7715
1978,51,c) 2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,51,d) 3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,51,e) 4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,51,f) 5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,51,g) 6 to 10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,51,h) 11 to 15,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,51,i) 16 to 20,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,51,j) 21 to 25,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,51,k) 26+,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,51,l) Left Censored,29400,53704,2093380,2052507,2437,4.445,4687,8.548,329206,47804,281402,2.329,16.039,245722,71211,174511,3.469,11.972,83484,4.067,23.944,2269,2361,25289
1978,52,a) 0,15512,15524,48802,24401,15524,200.000,X,X,48802,48802,X,200.000,200.000,X,X,X,X,X,48802,200.000,X,X,X,X
1978,52,b) 1,11092,11150,56469,57458,19,0.150,3054,24.109,15678,196,15482,0.341,27.286,16862,10439,6423,18.168,29.347,-1184,-2.061,54.573,2377,2383,8396
1978,52,c) 2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,52,d) 3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,52,e) 4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,52,f) 5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,52,g) 6 to 10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,52,h) 11 to 15,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,52,i) 16 to 20,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,52,j) 21 to 25,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,52,k) 26+,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,52,l) Left Censored,119806,207192,4001993,3900686,9670,4.629,13106,6.274,618920,122720,496200,3.146,15.867,414173,124687,289486,3.197,10.618,204747,5.249,21.236,6327,6425,29106
1978,53,a) 0,25521,25574,88867,44434,25574,200.000,X,X,88867,88867,X,200.000,200.000,X,X,X,X,X,88867,200.000,X,X,X,X
1978,53,b) 1,17906,18068,76617,76917,91,0.434,5918,28.206,25606,804,24802,1.045,33.290,25295,17536,7759,22.799,32.886,311,0.404,65.772,4714,4724,14263
1978,53,c) 2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,53,d) 3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,53,e) 4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,53,f) 5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,53,g) 6 to 10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,53,h) 11 to 15,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,53,i) 16 to 20,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,53,j) 21 to 25,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,53,k) 26+,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,53,l) Left Censored,125901,134514,858729,857937,4962,3.525,17481,12.418,179625,31679,147946,3.692,20.937,176715,78406,98309,9.139,20.598,2910,0.339,41.195,13556,13602,44405
1978,54,a) 0,35431,35655,126238,63119,35655,200.000,X,X,126238,126238,X,200.000,200.000,X,X,X,X,X,126238,200.000,X,X,X,X
1978,54,b) 1,25271,25709,111681,109125,219,0.749,7267,24.859,38953,1846,37107,1.692,35.696,32456,22670,9786,20.774,29.742,6497,5.954,59.484,5530,5550,17992
1978,54,c) 2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,54,d) 3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,54,e) 4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,54,f) 5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,54,g) 6 to 10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,54,h) 11 to 15,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,54,i) 16 to 20,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,54,j) 21 to 25,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,54,k) 26+,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,54,l) Left Censored,174129,188843,1987008,1949802,6598,3.395,17630,9.071,373994,70580,303414,3.620,19.181,299666,127119,172547,6.520,15.369,74328,3.812,30.738,12002,12243,77848
1978,55,a) 0,857,869,15766,7883,869,200.000,X,X,15766,15766,X,200.000,200.000,X,X,X,X,X,15766,200.000,X,X,X,X
1978,55,b) 1,714,741,12182,11979,69,8.707,172,21.703,5446,848,4598,7.079,45.465,5015,1516,3499,12.656,41.867,431,3.598,83.733,107,109,1152
1978,55,c) 2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,55,d) 3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,55,e) 4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,55,f) 5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,55,g) 6 to 10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,55,h) 11 to 15,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,55,i) 16 to 20,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,55,j) 21 to 25,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,55,k) 26+,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,55,l) Left Censored,17416,34514,2402252,2343595,2996,8.680,3001,8.694,504149,122933,381216,5.245,21.512,385643,95921,289722,4.093,16.455,118506,5.057,32.910,296,325,3390
1978,56,a) 0,21829,21946,116082,58041,21946,200.000,X,X,116082,116082,X,200.000,200.000,X,X,X,X,X,116082,200.000,X,X,X,X
1978,56,b) 1,13996,14216,116244,109899,151,0.895,5448,32.305,49413,2254,47159,2.051,44.962,36281,22581,13700,20.547,33.013,13132,11.949,66.026,4435,4443,18697
1978,56,c) 2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,56,d) 3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,56,e) 4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,56,f) 5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,56,g) 6 to 10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,56,h) 11 to 15,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,56,i) 16 to 20,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,56,j) 21 to 25,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,56,k) 26+,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,56,l) Left Censored,73446,85846,1733399,1671646,4286,4.817,10554,11.861,453487,86037,367450,5.147,27.128,330842,111202,219640,6.652,19.791,122645,7.337,39.583,7448,7525,53364
1978,61,a) 0,3558,3600,19027,9514,3600,200.000,X,X,19027,19027,X,200.000,200.000,X,X,X,X,X,19027,200.000,X,X,X,X
1978,61,b) 1,2331,2394,21975,22200,24,0.857,837,29.888,6487,149,6338,0.671,29.221,6664,3473,3191,15.644,30.019,-177,-0.797,58.443,680,681,2831
1978,61,c) 2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,61,d) 3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,61,e) 4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,61,f) 5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,61,g) 6 to 10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,61,h) 11 to 15,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,61,i) 16 to 20,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,61,j) 21 to 25,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,61,k) 26+,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,61,l) Left Censored,24565,26439,1238751,1175751,815,3.000,2274,8.370,246288,13734,232554,1.168,20.947,123635,57080,66555,4.855,10.515,122653,10.432,21.031,1596,1628,42578
1978,62,a) 0,31157,31545,169128,84564,31545,200.000,X,X,169128,169128,X,200.000,200.000,X,X,X,X,X,169128,200.000,X,X,X,X
1978,62,b) 1,24791,25841,178583,166909,452,1.630,4240,15.288,56991,4687,52304,2.808,34.145,32729,21751,10978,13.032,19.609,24262,14.536,39.218,3182,3224,16671
1978,62,c) 2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,62,d) 3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,62,e) 4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,62,f) 5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,62,g) 6 to 10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,62,h) 11 to 15,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,62,i) 16 to 20,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,62,j) 21 to 25,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,62,k) 26+,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,62,l) Left Censored,258174,283471,5500396,5330102,9013,3.135,16986,5.909,785355,120181,665174,2.255,14.734,441967,171266,270701,3.213,8.292,343388,6.442,16.584,11507,11645,91481
1978,71,a) 0,6552,6600,43698,21849,6600,200.000,X,X,43698,43698,X,200.000,200.000,X,X,X,X,X,43698,200.000,X,X,X,X
1978,71,b) 1,4150,4206,33629,33871,35,0.692,1740,34.398,11623,437,11186,1.290,34.315,12073,7803,4270,23.037,35.644,-450,-1.329,68.631,1380,1383,6291
1978,71,c) 2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,71,d) 3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,71,e) 4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,71,f) 5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,71,g) 6 to 10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,71,h) 11 to 15,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,71,i) 16 to 20,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,71,j) 21 to 25,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,71,k) 26+,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,71,l) Left Censored,32028,33990,579405,565466,1067,3.030,3511,9.971,113320,16571,96749,2.931,20.040,85658,29320,56338,5.185,15.148,27662,4.892,30.296,2499,2513,17125
