,2005,2009,2014,2019,2024,dwa_title,change,pct_change
4.A.1.a.1.I08.D03,0.0009025702657570061,0.0010342704385295461,0.0010333765638849371,0.0008910778498588848,0.0009561706820041226,Conduct climatological research.,5.360041624711642e-05,5.9386419296851685
4.A.1.a.1.I09.D01,0.001868360251697792,0.0027942939403492015,0.009484884099476038,0.011827913097548791,0.014173945027336713,Conduct surveys in organizations.,0.01230558477563892,658.630195352141
4.A.1.a.1.I09.D02,0.003766525408079591,0.003990848624354059,0.003721756971842107,0.0038690901507448974,0.0034075819633806507,Research industrial processes or operations.,-0.00035894344469894045,-9.52982937348489
4.A.1.a.1.I09.D03,0.0041362173003402294,0.005226411252354708,0.0050731872852775185,0.005591929115252651,0.007091153055884682,Conduct scientific research of organizational behavior or processes.,0.002954935755544452,71.44053469582921
4.A.1.a.1.I10.D01,0.0014995939775950423,0.001740239568501216,0.001694781857205621,0.0014957183073220344,0.0013838328164496269,Research impacts of environmental conservation initiatives.,-0.0001157611611454154,-7.719500269737421
4.A.1.a.1.I10.D02,0.012022113758286481,0.013923223034172266,0.01175717115806147,0.0033406248690251365,0.012198235444470481,Research issues related to the environment or sustainable business practices.,0.00017612168618399981,1.4649810318306498
4.A.1.a.1.I10.D03,0.009977330685695155,0.010663633379079013,0.009924230976867935,0.010530827804844507,0.010398475348919422,Investigate the environmental impact of projects.,0.0004211446632242672,4.221015384686777
4.A.1.a.1.I10.D04,0.0009071057947306595,0.0010267114828748593,0.0024301214447442513,0.0022282799871657316,0.0019028801368870876,Monitor environmental impacts of production or development activities.,0.0009957743421564282,109.77488490767458
4.A.1.a.1.I10.D05,0.001241809320623115,0.001419403895157845,0.0014435074701745821,0.001596478708843259,0.00172590384972931,Research environmental impact of industrial or development activities.,0.00048409452910619486,38.98300013268429
4.A.1.a.1.I10.D06,0.008478940011705367,0.008573628800778218,0.007435847945435809,0.003964543265431541,0.008901987921166709,Identify environmental concerns.,0.00042304790946134235,4.9893961848688075
4.A.1.a.1.I10.D07,0.005858237321275861,0.006161855344732238,0.005666876260737295,0.002687204201685329,0.007824361486351447,Evaluate environmental impact of operational or development activities.,0.0019661241650755865,33.56170221945508
4.A.1.a.1.I11.D01,0.00038033650107635505,0.0003278347063569697,0.0002574071856297626,0.0005723284464408515,0.0004798822407266222,Gather information for news stories.,9.954573965026718e-05,26.173070259770498
4.A.1.a.1.I12.D01,0.00322031813310963,0.003546363367770442,0.0036285725042448334,0.003777929694527399,0.006770351447916128,Gather medical information from patient histories.,0.003550033314806498,110.23859035251544
4.A.1.a.1.I12.D02,0.005200122811017189,0.0059358332386130865,0.029268014712583838,0.04173361587871539,0.04466124589692617,"Collect medical information from patients, family members, or other medical professionals.",0.039461123085908975,758.8498295137387
4.A.1.a.1.I12.D03,0.0012895712175701578,0.0015100180425739046,0.0013741727749056784,0.001423913838383594,0.0024171601723410193,"Collect information from people through observation, interviews, or surveys.",0.0011275889547708614,87.43906031769944
4.A.1.a.1.I12.D04,0.010613878292875027,0.011919166581278465,0.011150109274546143,0.010134732500646046,0.009502959200474968,Collect information about clients.,-0.0011109190924000582,-10.466665075157357
4.A.1.a.1.I13.D01,0.00017160960647251455,0.00017730883634450398,0.00018364324692844743,0.00019324767944736782,0.00020580002559665323,Research livestock management methods.,3.4190419124138685e-05,19.92337132339658
4.A.1.a.1.I13.D02,0.0005793444050223671,0.0006392450152420275,0.0006450511637240875,0.0006698888661941673,0.0009233130870407225,Research crop management methods.,0.00034396868201835547,59.37205555736327
4.A.1.a.1.I13.D03,0.00023732849568259296,0.0002672697406792944,0.0002926707775724237,0.0002826910722772077,0.00041460710787522475,Research sustainable agricultural processes or practices.,0.0001772786121926318,74.69756705057749
4.A.1.a.1.I14.D01,0.004621796585968499,0.005297241466452328,0.004477454043618167,0.004576910508139154,0.004509924937264364,Conduct market research.,-0.00011187164870413505,-2.420522985450523
4.A.1.a.1.I14.D02,0.06367206977753971,0.0628368517938895,0.06099017099775693,0.05519406601624826,0.049391786114659074,Gather customer or product information to determine customer needs.,-0.014280283662880637,-22.427861561236696
4.A.1.a.1.I14.D03,0.02621119218600556,0.02494035424065811,0.020429374265448306,0.016132903203751502,0.012560402417526886,Obtain personal or financial information about customers or applicants.,-0.013650789768478673,-52.08000334974072
4.A.1.a.1.I14.D04,0.007503060787843597,0.007758194794473862,0.00793447854261537,0.008915695543744414,0.011528248547169901,Conduct opinion surveys or needs assessments.,0.004025187759326304,53.647276400157686
4.A.1.a.1.I14.D05,0.002297661953326445,0.003011077322890403,0.012405629432118181,0.013843745514659701,0.014440399586493034,Collect data about customer needs.,0.01214273763316659,528.4823389962529
4.A.1.a.1.I15.D01,0.0022366637167215973,0.002542702033620368,0.0024405131312587552,0.002354250001151213,0.002269961080618823,Observe individuals' activities to gather information or compile evidence.,3.329736389722556e-05,1.488706757671706
4.A.1.a.1.I15.D02,0.002413549346694076,0.0021461834832899487,0.0022342126006183564,0.0013641288131587622,0.002039444515953719,Investigate personal characteristics or activities of individuals.,-0.0003741048307403568,-15.50019398827629
4.A.1.a.1.I16.D01,0.0005861939793907415,0.0006732136554680272,0.0007231591680994985,0.0007289714563967752,0.0008333214151208746,Research genetic characteristics or expression.,0.00024712743573013305,42.15796211127655
4.A.1.a.1.I16.D02,0.00150857247372656,0.001907563117746319,0.001912496207460311,0.002011461710305963,0.0024174535437246213,Research diseases or parasites.,0.0009088810699980612,60.24775646031061
4.A.1.a.1.I16.D03,0.0014758981527530986,0.0016741686968528428,0.0016912043913563655,0.0016840489416138351,0.0019931651801905373,Conduct research of processes in natural or industrial ecosystems.,0.0005172670274374387,35.04760992298442
4.A.1.a.1.I16.D04,0.001168315238886774,0.0013373752282384666,0.001336353850213549,0.0013210461317956978,0.0014813788014972208,Research microbiological or chemical processes or structures.,0.00031306356261044687,26.796155026510537
4.A.1.a.1.I16.D05,0.0011379549633080334,0.0010547076149292546,0.0009795442206294738,0.0009293995827379871,0.0010210057577801175,Classify organisms based on their characteristics or behavior.,-0.00011694920552791596,-10.277138313799766
4.A.1.a.1.I16.D06,0.0032648403665040634,0.0034674142753770474,0.0035277220383991554,0.003533014016778675,0.00339438025111857,Examine characteristics or behavior of living organisms.,0.00012953988461450678,3.96772491370584
4.A.1.a.1.I17.D01,0.003000576382426917,0.00422881574681642,0.003938364011238694,0.0033967416224672435,0.004839821058124572,Obtain documentation to authorize activities.,0.0018392446756976552,61.29637913799891
4.A.1.a.1.I17.D02,0.002375321316773284,0.0026686846278651476,0.0024735621014852103,0.0025105027694281236,0.0024920432180053752,Obtain copyrights or other legal permissions.,0.00011672190123209131,4.913941554258868
4.A.1.a.1.I17.D03,0.0065656872793499865,0.006134979057960019,0.004854535979681357,0.004686100129927064,0.004185529529846688,Obtain written authorization to perform activities.,-0.0023801577495032988,-36.25146383363751
4.A.1.a.1.I18.D01,9.357999576252007e-05,0.00011777039550882317,0.00012265597197447324,0.00010903352511630567,0.00010788732631955698,Conduct anthropological or archaeological research.,1.4307330557036913e-05,15.288877115729871
4.A.1.a.1.I18.D02,0.0002145582889985376,0.0002426331444714265,0.0002510188537560921,0.0002484278528598432,0.00026990167291364355,Conduct historical research.,5.534338391510594e-05,25.794102000637757
4.A.1.a.1.I18.D03,0.008754774222756119,0.009226031998085811,0.008123147277284437,0.007730063274566318,0.007811746516856569,Conduct research on social issues.,-0.0009430277058995497,-10.771582246499921
4.A.1.a.1.I19.D01,0.006988417092057632,0.00791170691857213,0.031117990445440495,0.03075182478960315,0.036598373475706464,Conduct research to increase knowledge about medical issues.,0.02960995638364883,423.70047456527294
4.A.1.a.1.I19.D02,0.001288367913964903,0.0015886871736467557,0.001915732962276304,0.0009173801390243787,0.000923239744194822,Collect information about community health needs.,-0.00036512816977008096,-28.340365031787616
4.A.1.a.1.I20.D01,0.0019627733038024117,0.0020910311031427896,0.001671187618152198,0.0017190145960534235,0.0015067554261787755,Research engineering aspects of biological or chemical processes.,-0.0004560178776236363,-23.233344204356605
4.A.1.a.1.I20.D02,0.0020942110822225685,0.002101016390242191,0.0016205068519544123,0.0017127707291892114,0.0016440532337044114,Research engineering applications of emerging technologies.,-0.00045015784851815707,-21.495342677702208
4.A.1.a.1.I20.D03,0.005413385234594683,0.005588961162459128,0.005096525991055994,0.005083522255834172,0.004399763982721893,Research design or application of green technologies.,-0.0010136212518727901,-18.72435099196636
4.A.1.a.1.I20.D04,0.004662894032178745,0.004608909899674928,0.014613862816450279,0.021668325323883034,0.021790746259789894,Conduct research to gain information about products or processes.,0.01712785222761115,367.3223562322332
4.A.1.a.1.I20.D05,0.006214415188431328,0.006775530559364585,0.006367889211674736,0.006688586281615722,0.0062912026356485105,Research advanced engineering designs or applications.,7.678744721718259e-05,1.2356343258192513
4.A.1.a.1.I20.D06,0.0035912133289755233,0.003817272605616808,0.003507534909678357,0.003708700820670446,0.0033169302058476983,"Research energy production, use, or conservation.",-0.00027428312312782494,-7.637617094890616
4.A.1.a.1.I20.D07,0.0026868843887185288,0.002788694713938322,0.002787016252086642,0.00300236338165644,0.0032773984119073576,Research human performance or health factors related to engineering or design activities.,0.0005905140231888288,21.977649119114723
4.A.1.a.1.I20.D08,0.003196252061004531,0.0033875319785818393,0.00307960185190075,0.0030754946723035256,0.0030057365106921034,Research new technologies.,-0.00019051555031242761,-5.960592177218702
4.A.1.a.1.I20.D09,0.00023445907939313883,0.00022462229951643214,0.00020894104114818255,0.00020183299638565962,0.00017030208818083706,Research product safety.,-6.415699121230177e-05,-27.363833116790463
4.A.1.a.1.I20.D10,0.00023381114668261693,0.0003140232812101347,0.00038772915585264043,0.00034981264106748893,0.00046272001478591773,Research methods to improve food products.,0.0002289088681033008,97.90331699370576
4.A.1.a.1.I21.D01,0.007023683143873181,0.007435492712326865,0.006736708905181312,0.006323632263402519,0.005977295255194599,Investigate accidents to determine causes.,-0.0010463878886785823,-14.897993933444384
4.A.1.a.1.I21.D02,0.0029650326451640015,0.0031892260431965387,0.0029359921513806377,0.002842442341596805,0.002710091498867403,Examine debris to obtain information about causes of fires.,-0.0002549411462965984,-8.598257651982685
4.A.1.a.1.I21.D03,0.00033053824418195765,0.00031654293309503023,0.000281342135716448,0.00029400808096859235,0.00022802290790448855,"Investigate transportation incidents, violations, or complaints.",-0.0001025153362774691,-31.014667162398172
4.A.1.a.1.I21.D04,0.006000782517590679,0.005900838073545092,0.006636454683643843,0.007288777983938121,0.00854099443364471,Investigate industrial or transportation accidents.,0.002540211916054031,42.33134443062484
4.A.1.a.1.I22.D01,0.007232965409371754,0.008241128072412182,0.0076996434629392424,0.008145982856058654,0.008104457814845253,"Investigate system, equipment, or product failures.",0.0008714924054734983,12.048894971131832
4.A.1.a.1.I22.D02,0.0027134496298499267,0.0026248240209799283,0.0023010771408961076,0.0020224665256541366,0.002976619400869626,Investigate work related complaints to determine corrective actions.,0.0002631697710196992,9.69871591219677
4.A.1.a.1.I22.D03,0.0021931596633008414,0.002392642765808809,0.0024381281540259182,0.0033754344267931196,0.0038386912115834755,Investigate safety of work environment.,0.0016455315482826341,75.03017567840942
4.A.1.a.1.I23.D01,0.027378489244918657,0.02883620265690759,0.02929493088421157,0.0253982552918918,0.033867599294295135,"Interview employees, customers, or others to collect information.",0.006489110049376478,23.701490580167174
4.A.1.a.1.I23.D02,0.0009270991469410495,0.0010723451781235237,0.0010861867740406131,0.0015807909933469257,0.0015453337631224104,Interview others for news or entertainment purposes.,0.0006182346161813609,66.68484360288942
4.A.1.a.1.I23.D03,0.004889207671782466,0.0050313715323757535,0.005070291241494788,0.004818235962440956,0.004860357054976697,Interview clients to gather financial information.,-2.885061680576919e-05,-0.5900877758226022
4.A.1.a.1.I23.D04,0.006136293015905544,0.00631564743015105,0.005698988275622279,0.0055021735290796,0.0051977341461187515,Interview people to obtain information about actions or status of individuals.,-0.0009385588697867929,-15.29520945877269
4.A.1.a.1.I23.D05,0.006814030631111452,0.007274048350813185,0.006578704163505862,0.006217252381703503,0.005893977782251691,Interview people to gather information about criminal activities.,-0.0009200528488597605,-13.502329218465645
4.A.1.a.1.I23.D06,0.006397039650982715,0.007894069355377861,0.008406789212475407,0.020652214040068298,0.019716463892033465,Interview patients to gather medical information.,0.013319424241050749,208.2123133159666
4.A.1.a.1.I23.D07,0.005093861846491597,0.005394294724240899,0.005316454963026891,0.005288867427330951,0.005660894217980072,Interview claimants to get information related to legal proceedings.,0.0005670323714884748,11.13167943255114
4.A.1.a.1.I23.D08,0.011891323912576846,0.013421065745556593,0.012479648904094445,0.01146100787094052,0.011838048728253388,"Interview clients to gather information about their backgrounds, needs, or progress.",-5.3275184323457736e-05,-0.4480172663290359
4.A.1.a.1.I23.D09,0.013277529665830555,0.01597645935904162,0.013501356115090143,0.004726295022865431,0.014363756312527069,"Interview witnesses, suspects, or claimants.",0.0010862266466965132,8.180939331597916
4.A.1.a.2.I01.D01,0.0012050622797549445,0.00146578415392796,0.0015681225305903142,0.0018093165205770926,0.0017340449056242595,Monitor broadcasting operations to ensure proper functioning.,0.000528982625869315,43.896704324434275
4.A.1.a.2.I01.D02,0.002634864648245199,0.002796533630913553,0.001928765159298592,0.0019278719426613219,0.002086017223100503,Monitor medical equipment to ensure proper functioning.,-0.0005488474251446962,-20.83019427621167
4.A.1.a.2.I01.D03,0.004143899931050703,0.003853667577287522,0.003796628221401525,0.004093713261184931,0.004005472843161092,Monitor engine operation or functioning.,-0.00013842708788961138,-3.3405026712243173
4.A.1.a.2.I01.D04,0.003721262680158847,0.003896874941091472,0.0036881969350657583,0.004439311292119077,0.00371452177347402,Monitor lubrication of equipment or workpieces.,-6.740906684827349e-06,-0.1811456826406999
4.A.1.a.2.I01.D05,0.032737170446382136,0.030409491957924428,0.02975727575634868,0.030204705955626555,0.02757683671572203,Monitor equipment operation to ensure proper functioning.,-0.005160333730660105,-15.762919214755733
4.A.1.a.2.I01.D06,0.008490047429600028,0.008327542800020082,0.00818047190863084,0.008119602518557357,0.007937896211805337,Observe equipment in operation to detect potential problems.,-0.000552151217794691,-6.50351158074394
4.A.1.a.2.I01.D07,0.022554630215083114,0.01957564209595469,0.019009461034327147,0.018483016643105175,0.016121490957377173,Watch operating equipment to detect malfunctions.,-0.006433139257705941,-28.52247718698515
4.A.1.a.2.I01.D08,0.001424989154069235,0.0013741434816699058,0.0014241721190369394,0.0014500600308774826,0.0017190096222146679,"Monitor green energy equipment, systems, or facilities.",0.0002940204681454329,20.633172351229522
4.A.1.a.2.I01.D09,0.015474576925394529,0.016314465993378355,0.016652336928459372,0.048877380054732175,0.04489924343187311,Assess equipment functioning.,0.029424666506478583,190.14843926486472
4.A.1.a.2.I01.D10,0.01831159657932256,0.015741851772425788,0.015391365394355134,0.016531105813016637,0.015223921209247506,Monitor equipment operation to ensure that products are not flawed.,-0.0030876753700750555,-16.86185776701555
4.A.1.a.2.I01.D11,0.005355441537910867,0.004850609839744541,0.004754537291418835,0.0050462931996563066,0.00479845569303672,Monitor instruments to ensure proper production conditions.,-0.0005569858448741466,-10.40037205020866
4.A.1.a.2.I01.D12,0.000806676224599765,0.0009304047886077392,0.0009441102731701816,0.001006043048496192,0.001082833776874194,Monitor video displays of medical equipment to ensure proper functioning.,0.00027615755227442895,34.23400167910557
4.A.1.a.2.I01.D13,0.0025482267886668426,0.0025773239169276374,0.0022842119447496175,0.002193626526069354,0.0021813629227710836,Monitor equipment gauges or displays to ensure proper operation.,-0.000366863865895759,-14.39682949443018
4.A.1.a.2.I01.D14,0.0013164141441489223,0.0012061666893435337,0.0009943651505763893,0.0007939857201203849,0.0006122660775769284,Monitor equipment fluid levels.,-0.0007041480665719939,-53.48985877291938
4.A.1.a.2.I02.D01,0.0014156404106745618,0.001490140788815284,0.0010610593353375091,0.0011889883476176096,0.001105643401949233,Monitor industrial energy consumption or management.,-0.00030999700872532884,-21.89800505748584
4.A.1.a.2.I02.D02,0.0038424260970264424,0.004205205675450546,0.004337762519980573,0.004831504179527406,0.007207108095253287,Monitor facilities or operational systems.,0.003364681998226845,87.56660279896309
4.A.1.a.2.I02.D03,0.004301810388786469,0.004526134669234099,0.004227286967445231,0.004482706166825352,0.00440269769655791,Monitor operational quality or safety.,0.00010088730777144117,2.345229069938186
4.A.1.a.2.I02.D04,0.0009853205290722316,0.001330749476985593,0.0014660795761282177,0.0009069997103626258,0.00082437358792102,Monitor extraction operations.,-0.00016094694115121157,-16.334475574436443
4.A.1.a.2.I02.D05,0.01150460064621106,0.012077811329586704,0.011513818302553783,0.009428941399982658,0.01570424350704953,Monitor organizational procedures to ensure proper functioning.,0.00419964286083847,36.50402990930055
4.A.1.a.2.I02.D06,0.012193075432048473,0.011601410482461076,0.0099726119435912,0.011031663975690128,0.0123654571331235,Monitor construction operations.,0.00017238170107502712,1.4137671995527588
4.A.1.a.2.I02.D07,0.0010046659485720998,0.0010317507866446506,0.0009579090700173098,0.0009133996738984433,0.0008482833556845656,Monitor vehicle movement or location.,-0.00015638259288753426,-15.565630855688491
4.A.1.a.2.I02.D08,0.0024514071293517126,0.0026711109593098616,0.0027351429972724377,0.002799984046920162,0.0022709878804614294,Monitor recreational facility operations.,-0.0001804192488902832,-7.359823944788641
4.A.1.a.2.I02.D09,0.01861556958237312,0.01824227964664402,0.01125487791727434,0.009726539704398173,0.009111895146133787,Inspect operational processes.,-0.009503674436239333,-51.05228929034897
4.A.1.a.2.I02.D10,0.007564799518974756,0.007391072182800558,0.006178283521664196,0.005253199337869138,0.004805349920551362,Track goods or materials.,-0.002759449598423394,-36.477498068546005
4.A.1.a.2.I02.D11,0.0123181264451792,0.012787139995404902,0.012955366684287106,0.013199222357601396,0.013990147855510194,Monitor food services operations to ensure procedures are followed.,0.001672021410330994,13.57366656181187
4.A.1.a.2.I02.D12,0.0007304052883897585,0.0007406843337191201,0.000641473697874832,0.0006350012600903816,0.0005307088329356318,Monitor loading processes to ensure they are performed properly.,-0.00019969645545412675,-27.340499668940627
4.A.1.a.2.I02.D13,0.00012884604757806918,0.00010311908640035626,9.889137740441906e-05,0.00010107259486443512,0.00011698183921121236,Monitor biofuel production operations.,-1.1864208366856816e-05,-9.208049909073205
4.A.1.a.2.I02.D14,0.023284665256209716,0.02156262090829531,0.02028065389942926,0.019961798461558034,0.02014779316877399,Inspect cargo to ensure it is properly loaded or secured.,-0.0031368720874357277,-13.471836734260823
4.A.1.a.2.I02.D15,0.004505816630785079,0.004700923853693707,0.004367574735391035,0.004243331920918616,0.0038082539305347904,Monitor the productivity or efficiency of industrial operations.,-0.0006975627002502884,-15.481382342200362
4.A.1.a.2.I02.D16,0.003681275975738067,0.004128029671420596,0.0039109367730610686,0.003847080520048549,0.004044491237180129,Monitor operational procedures in technical environments to ensure conformance to standards.,0.00036321526144206164,9.866558873496025
4.A.1.a.2.I02.D17,0.001424989154069235,0.0013741434816699058,0.0014241721190369394,0.0014500600308774826,0.0017190096222146679,Inspect operations of green energy facilities.,0.0002940204681454329,20.633172351229522
4.A.1.a.2.I02.D18,0.00031147051012945604,0.0003439791425083377,0.00034326636601189386,0.000262398504968518,0.00022530922260617203,Monitor conditions at energy-producing landfills.,-8.616128752328401e-05,-27.662743252153444
